50	0	r811u34n02.milgram.ycrc.yale.edu	2024-07-10 19:05:55	2024-07-11 04:42:40	34604.48	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_10032018_accg.m');"
46	137	r812u35n01.milgram.ycrc.yale.edu	2024-07-10 16:32:36	2024-07-11 07:56:58	55461.56	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_09302018_bla.m');"
39	137	r811u32n03.milgram.ycrc.yale.edu	2024-07-10 11:45:26	2024-07-11 08:53:07	76061.30	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_08292018_bla.m');"
48	0	r811u34n03.milgram.ycrc.yale.edu	2024-07-10 18:27:14	2024-07-11 09:41:45	54871.63	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_10012018_bla.m');"
53	0	r812u35n01.milgram.ycrc.yale.edu	2024-07-11 07:57:01	2024-07-11 13:21:11	19450.12	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_10092018_dmpfc.m');"
41	137	r811u34n04.milgram.ycrc.yale.edu	2024-07-10 14:47:00	2024-07-11 17:21:56	95695.88	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_08302018_bla.m');"
52	137	r811u34n02.milgram.ycrc.yale.edu	2024-07-11 04:42:43	2024-07-12 03:07:27	80683.82	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_10092018_accg.m');"
51	0	r812u33n04.milgram.ycrc.yale.edu	2024-07-11 01:55:16	2024-07-12 03:33:48	92311.76	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_10042018_bla.m');"
54	0	r812u35n03.milgram.ycrc.yale.edu	2024-07-11 08:53:15	2024-07-12 06:19:30	77174.21	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_10102018_ofc.m');"
40	0	r811u32n02.milgram.ycrc.yale.edu	2024-07-10 14:21:04	2024-07-12 12:26:52	165948.61	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_08292018_ofc.m');"
45	0	r812u35n02.milgram.ycrc.yale.edu	2024-07-10 16:13:25	2024-07-13 22:45:09	282703.82	module load miniconda; module load MATLAB/2017a; matlab -nodisplay -nosplash -r "run('pdScripts/GST_09272018_bla.m');"
